Designator,Comment,Parameter 1,nBlocksParameter1,Parameter 2,nBlocksParameter2,Parameter 3,nBlocksParameter3,ComponentLink1URL

"N1","Ticker","","1000","","","","","https://github.com/nBlocksStudioNodes/nblocks_ticker"
"N2","L298","IN1","LED2","IN2","LED3","EN","LED4","https://github.com/nBlocksStudioNodes/nblocks_l298"
"N3","Ticker","","100","","","","","https://github.com/nBlocksStudioNodes/nblocks_ticker"
"N4","FlipFlop","triggerMode","0","","","","","https://github.com/nBlocksStudioNodes/nblocks_flipflop"
"N5","GPOUT","pinOut","LED1","modeString","PullNone","Preset","1","https://github.com/nBlocksStudioNodes/nblocks_gpout"
"N7","Counter","AutoResetValue","4","","","","","https://github.com/nBlocksStudioNodes/nblocks_counter"
